No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
2,Brian Hoyer\HoyeBr00,32,qb,6,6,216,6-2,Michigan St.,10/13/1985,8,2,,$2950000
28,Carlos Hyde\HydeCa00,27,RB,16,16,229,6-0,Ohio St.,9/20/1990,3,8,San Francisco 49ers / 2nd / 57th pick / 2014,$822047
30,Asa Jackson\JackAs00,28,,4,0,193,5-10,Cal Poly,12/2/1989,5,0,Baltimore Ravens / 5th / 169th pick / 2012,$729412
26,Lorenzo Jerome\JeroLo00,23,,4,0,205,5-11,St. Francis (PA),1/1/1994,Rook,0,,$465000
36,Dontae Johnson\JohnDo02,26,RCB,16,16,200,6-2,North Carolina St.,12/1/1991,3,5,San Francisco 49ers / 4th / 129th pick / 2014,$690000
93,D.J. Jones\JoneD.01,22,,9,0,321,6-0,Mississippi,1/19/1995,Rook,1,San Francisco 49ers / 6th / 198th pick / 2017,$465000
96,Datone Jones\JoneDa03,27,,3,0,288,6-5,UCLA,7/24/1990,4,0,Green Bay Packers / 1st / 26th pick / 2013,$455882
44,Kyle Juszczyk*\JuszKy00,26,FB,14,10,240,6-1,Harvard,4/23/1991,4,3,Baltimore Ravens / 4th / 130th pick / 2013,$2000000
67,Daniel Kilgore\KilgDa00,30,C,16,16,291,6-3,Appalachian St.,12/18/1987,6,8,San Francisco 49ers / 5th / 163rd pick / 2011,$1000000
85,George Kittle\KittGe00,24,te,15,7,250,6-4,Iowa,10/9/1993,Rook,4,San Francisco 49ers / 5th / 146th pick / 2017,$465000
47,Elijah Lee\LeexEl00,21,,14,0,229,6-2,Kansas St.,2/8/1996,Rook,1,Minnesota Vikings / 7th / 232nd pick / 2017,$437647
59,Aaron Lynch\LyncAa00,24,,7,0,270,6-6,South Florida,3/8/1993,3,1,San Francisco 49ers / 5th / 150th pick / 2014,$1797000
26,Greg Mabin\MabiGr00,23,,6,0,200,6-1,Iowa,6/25/1994,Rook,0,,$246176
62,Erik Magnuson\MagnEr00,23,t,4,2,305,6-4,Michigan,1/5/1994,Rook,1,,$465000
54,Cassius Marsh\MarsCa00,25,,6,0,245,6-4,UCLA,7/7/1992,3,1,Seattle Seahawks / 4th / 108th pick / 2014,$690000
27,Dexter McCoil\McCoDe00,26,,8,0,220,6-4,Tulsa,9/5/1991,1,0,,$540000
69,Tony McDaniel\McDaTo20,32,,4,0,295,6-7,Tennessee,1/20/1985,11,0,,$647059
33,Jeremy McNichols\McNiJe00,22,,2,0,205,5-9,Boise St.,12/26/1995,Rook,0,Tampa Bay Buccaneers / 5th / 162nd pick / 2017,$136765
90,Earl Mitchell\MitcEa99,30,LDT,16,16,310,6-3,Arizona,9/25/1987,7,7,Houston Texans / 3rd / 81st pick / 2010,$1650000
31,Raheem Mostert\MostRa00,25,,11,0,197,5-10,Purdue,4/9/1992,2,0,,$615000
18,Louis Murphy\MurpLo00,30,wr,7,7,200,6-2,Florida,5/11/1987,8,1,Oakland Raiders / 4th / 124th pick / 2009,$423528
86,Kyle Nelson\NelsKy00,31,,16,0,240,6-2,New Mexico St.,10/3/1986,5,1,,$975000
46,Mark Nzeocha\NzeoMa00,27,,10,0,240,6-3,Wyoming,1/19/1990,2,1,Dallas Cowboys / 7th / 236th pick / 2015,$506471
82,Logan Paulsen\PaulLo00,30,te,14,1,268,6-5,UCLA,2/26/1987,7,0,,$775000
5,Bradley Pinion\PiniBr00,23,P,16,0,240,6-5,Clemson,6/1/1994,2,1,San Francisco 49ers / 5th / 165th pick / 2015,$615000
45,Tyvis Powell\PoweTy01,23,,3,0,211,6-2,Ohio St.,2/16/1994,1,0,,$95294
27,Keith Reaser\ReasKe00,26,,1,0,190,6-0,Florida Atlantic,7/31/1991,3,0,San Francisco 49ers / 5th / 170th pick / 2014,
35,Eric Reid\ReidEr00,26,ss,13,12,215,6-1,LSU,12/10/1991,4,4,San Francisco 49ers / 1st / 18th pick / 2013,$5676000
19,Aldrick Robinson\RobiAl00,29,wr,16,1,185,5-10,SMU,9/24/1988,6,2,Washington Redskins / 6th / 178th pick / 2011,$1250000
33,Rashard Robinson\RobiRa00,22,lcb,8,7,177,6-2,LSU,7/23/1995,1,3,San Francisco 49ers / 4th / 133rd pick / 2016,$540000
74,Joe Staley*\StalJo20,33,T,15,15,315,6-5,Central Michigan,8/30/1984,10,9,San Francisco 49ers / 1st / 28th pick / 2007,$8250000
29,Jaquiski Tartt\TartJa00,25,s,9,8,215,6-1,Samford,2/12/1992,2,3,San Francisco 49ers / 2nd / 46th pick / 2015,$792910
55,Pita Taumoepenu\TaumPi00,23,,2,0,245,6-1,Utah,3/9/1994,Rook,0,San Francisco 49ers / 6th / 202nd pick / 2017,$465000
81,Trent Taylor\TaylTr02,23,wr,15,1,180,5-8,Louisiana Tech,4/30/1994,Rook,3,San Francisco 49ers / 5th / 177th pick / 2017,$465000
94,Solomon Thomas\ThomSo00,22,DE,14,12,280,6-2,Stanford,12/20/1995,Rook,6,San Francisco 49ers / 1st / 3rd pick / 2017,$465000
75,Laken Tomlinson\TomlLa01,25,LG,15,15,312,6-3,Duke,2/9/1992,2,7,Detroit Lions / 1st / 28th pick / 2015,$1212296
25,Jimmie Ward\WardJi01,26,fs,7,6,193,5-11,Northern Illinois,7/18/1991,3,2,San Francisco 49ers / 1st / 30th pick / 2014,$690000
97,Dekoda Watson\WatsDe99,29,,14,0,245,6-2,Florida St.,3/3/1988,7,1,Tampa Bay Buccaneers / 7th / 217th pick / 2010,$1000000
78,Darrell Williams\WillDa08,24,,7,0,310,6-5,,3/24/1993,Rook,1,,$246177
24,K'Waun Williams\WillKW00,26,cb,14,5,185,5-9,Pittsburgh,7/12/1991,3,2,,$615000
23,Ahkello Witherspoon\WithAh00,22,LCB,12,9,195,6-2,Colorado,3/21/1995,Rook,3,San Francisco 49ers / 3rd / 66th pick / 2017,$465000
,Team Total,26.2,,16,,243.0,6-2.0,,,3.4,,,
