No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
50,Samson Ebukam\EbukSa00,22,lb,16,2,245,6-3,East. Washington,5/9/1995,Rook,2,Los Angeles Rams / 4th / 125th pick / 2017,$465000
81,Gerald Everett\EverGe00,23,te,16,2,240,6-3,South Alabama,6/25/1994,Rook,3,Los Angeles Rams / 2nd / 44th pick / 2017,$465000
5,Sam Ficken\FickSa00,25,,2,0,192,6-1,Penn St.,12/14/1992,Rook,0,,$54706
97,Morgan Fox\FoxxMo00,23,de,16,1,275,6-3,Colorado State-Pueblo,9/12/1994,1,2,,$540000
16,Jared Goff*\GoffJa00,23,QB,15,15,222,6-4,California,10/14/1994,1,15,Los Angeles Rams / 1st / 1st pick / 2016,$1719894
30,Todd Gurley*+\GurlTo01,23,RB,15,15,224,6-1,Georgia,8/3/1994,2,19,St. Louis Rams / 1st / 10th pick / 2015,$1691653
54,Bryce Hager\HageBr00,25,lb,16,1,237,6-1,Baylor,5/4/1992,2,2,St. Louis Rams / 7th / 224th pick / 2015,$615000
36,Dominique Hatfield\HatfDo00,23,,11,0,178,5-10,Utah,12/13/1994,Rook,1,,$465000
79,Rob Havenstein\HaveRo00,25,T,15,15,330,6-8,Wisconsin,5/13/1992,2,8,St. Louis Rams / 2nd / 57th pick / 2015,$795911
6,Johnny Hekker*+\HekkJo00,27,P,16,0,241,6-5,Oregon St.,2/8/1990,5,3,,$2444444
89,Tyler Higbee\HigbTy00,24,TE,16,16,255,6-6,Western Kentucky,1/1/1993,1,3,Los Angeles Rams / 4th / 110th pick / 2016,$540000
32,Troy Hill\HillTr01,26,cb,12,3,183,5-11,Oregon,8/29/1991,2,2,,$542647
27,Isaiah Johnson\JohnIs01,25,,1,0,210,6-1,Georgia Tech,5/16/1992,2,0,,$108529
43,John Johnson\JohnJo10,22,SS,16,11,209,6-0,Boston Col.,12/19/1995,Rook,5,Los Angeles Rams / 3rd / 91st pick / 2017,$465000
22,Trumaine Johnson\JohnTr05,27,LCB,16,15,213,6-2,Montana,1/1/1990,5,7,St. Louis Rams / 3rd / 65th pick / 2012,$16742400
20,Lamarcus Joyner\JoynLa00,27,FS,12,12,191,5-8,Florida St.,11/27/1990,3,6,St. Louis Rams / 2nd / 41st pick / 2014,$1105934
18,Cooper Kupp\KuppCo00,24,wr,15,6,208,6-2,East. Washington,6/15/1993,Rook,9,Los Angeles Rams / 3rd / 69th pick / 2017,$465000
58,Cory Littleton\LittCo01,24,lb,16,4,228,6-3,Washington,11/18/1993,1,3,,$540000
96,Matt Longacre\LongMa00,26,lb,14,1,265,6-3,Northwest Missouri State,9/21/1991,2,2,,$615000
73,Cornelius Lucas\LucaCo01,26,t,1,1,328,6-9,Kansas St.,7/18/1991,3,1,,$649412
55,Cameron Lynch\LyncCa00,24,,3,0,229,6-0,Syracuse,8/4/1993,2,0,,$144706
14,Sean Mannion\MannSe00,25,qb,5,1,223,6-6,Oregon St.,4/25/1992,2,1,St. Louis Rams / 3rd / 89th pick / 2015,$730037
44,Jake McQuaide*\McQuJa00,30,,16,0,235,6-2,Ohio St.,12/7/1987,6,3,,$775000
82,Johnny Mundt\MundJo00,23,,2,0,233,6-4,Oregon,11/23/1994,Rook,0,,$218824
72,Aaron Neary\NearAa00,25,c,1,1,299,6-4,East. Washington,11/15/1992,Rook,1,,$27353
52,Alec Ogletree\OgleAl00,26,LB,15,15,235,6-2,Georgia,9/25/1991,4,8,St. Louis Rams / 1st / 30th pick / 2013,$8369000
47,Kevin Peterson\PeteKe01,23,lcb,6,1,185,5-11,Oklahoma St.,3/22/1994,Rook,1,,$164118
51,Ejuan Price\PricEj00,24,,1,0,255,5-11,Pittsburgh,1/30/1993,Rook,0,Los Angeles Rams / 7th / 234th pick / 2017,$465000
94,Robert Quinn\QuinRo00,27,LB,15,14,257,6-4,North Carolina,5/18/1990,6,6,St. Louis Rams / 1st / 14th pick / 2011,$6161616
83,Josh Reynolds\ReynJo00,22,wr,16,1,196,6-3,Texas A&M,2/16/1995,Rook,1,Los Angeles Rams / 4th / 117th pick / 2017,$465000
23,Nickell Robey-Coleman\RobeNi00,25,cb,15,4,180,5-8,USC,1/17/1992,4,3,,$775000
76,Rodger Saffold\SaffRo20,29,LG,15,15,323,6-5,Indiana,6/6/1988,7,12,St. Louis Rams / 2nd / 33rd pick / 2010,$4847233
56,Garrett Sickels\SickGa00,23,,1,0,254,6-4,Penn St.,9/24/1994,Rook,0,,$27353
92,Tanzel Smart\SmarTa00,23,dt,16,4,295,6-1,Tulane,11/6/1994,Rook,3,Los Angeles Rams / 6th / 189th pick / 2017,$465000
65,John Sullivan\SullJo24,32,C,15,15,312,6-4,Notre Dame,8/8/1985,9,8,Minnesota Vikings / 6th / 187th pick / 2008,$900000
88,Mike Thomas\ThomMi04,23,wr,8,1,189,6-1,Southern Miss,8/16/1994,1,1,Los Angeles Rams / 6th / 206th pick / 2016,$412941
53,Carlos Thompson\ThomCa02,25,lb,3,1,250,6-5,Mississippi,2/16/1992,2,1,,$158825
95,Tyrunn Walker\WalkTy00,27,dt,16,4,310,6-3,Tulsa,3/18/1990,5,3,,$775000
12,Sammy Watkins\WatkSa00,24,WR,15,14,211,6-1,Clemson,6/14/1993,3,6,Buffalo Bills / 1st / 4th pick / 2014,$690000
21,Kayvon Webster\WebsKa00,26,RCB,11,11,193,5-11,South Florida,2/1/1991,4,4,Denver Broncos / 3rd / 90th pick / 2013,$2750000
93,Ethan Westbrooks\WestEt00,27,nt,16,9,287,6-4,West Texas A&M,11/15/1990,3,5,,$1282175
77,Andrew Whitworth*+\WhitAn20,36,T,15,15,330,6-7,LSU,12/12/1981,11,14,Cincinnati Bengals / 2nd / 55th pick / 2006,$7500000
63,Darrell Williams\WillDa07,24,t,16,1,310,6-6,South Florida,8/31/1993,2,2,,$615000
17,Robert Woods\WoodRo02,25,WR,12,11,195,6-0,USC,4/10/1992,4,8,Buffalo Bills / 2nd / 41st pick / 2013,$3000000
4,Greg Zuerlein*+\ZuerGr00,30,K,14,0,191,6-0,Missouri Western St.,12/27/1987,5,6,St. Louis Rams / 6th / 171st pick / 2012,$1375000
,Team Total,25.4,,16,,239.7,6-2.0,,,2.7,,,
