No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
53,Mark Nzeocha\NzeoMa00,28,lb,16,3,240,6-3,Wyoming,1/19/1990,3,2,Dallas Cowboys / 7th / 236th pick / 2015,$705000
47,Elijah Lee\LeexEl00,22,lb,16,5,229,6-2,Kansas St.,2/8/1996,1,4,Minnesota Vikings / 7th / 232nd pick / 2017,$555000
56,Reuben Foster\FostRe00,24,lb,6,6,228,6-1,Alabama,4/4/1994,1,3,San Francisco 49ers / 1st / 31st pick / 2017,$772684
50,Brock Coyle\CoylBr00,28,lb,1,1,245,6-1,Montana,10/12/1990,4,0,,$900000
25,Richard Sherman\SherRi00,30,LCB,14,14,195,6-3,Stanford,3/30/1988,7,5,Seattle Seahawks / 5th / 154th pick / 2011,$2000000
24,K'Waun Williams\WillKW00,27,cb,14,11,185,5-9,Pittsburgh,7/12/1991,4,4,,$1250000
23,Ahkello Witherspoon\WithAh00,23,RCB,14,12,195,6-2,Colorado,3/21/1995,1,4,San Francisco 49ers / 3rd / 66th pick / 2017,$638325
33,Tarvarius Moore\MoorTa00,22,rcb,16,2,200,6-2,Southern Miss,8/16/1996,Rook,1,San Francisco 49ers / 3rd / 95th pick / 2018,$480000
26,Greg Mabin\MabiGr00,24,rcb,13,1,200,6-1,Iowa,6/25/1994,1,1,,$555000
29,Jaquiski Tartt\TartJa00,26,ss,8,8,215,6-1,Samford,2/12/1992,3,3,San Francisco 49ers / 2nd / 46th pick / 2015,$1021865
30,Tyvis Powell\PoweTy01,24,ss,7,1,211,6-2,Ohio St.,2/16/1994,2,1,,$129200
36,Marcell Harris\HarrMa03,24,ss,8,5,208,6-0,Florida,6/9/1994,Rook,2,San Francisco 49ers / 6th / 184th pick / 2018,$363000
20,Jimmie Ward\WardJi01,27,fs,9,7,193,5-11,Northern Illinois,7/18/1991,4,2,San Francisco 49ers / 1st / 30th pick / 2014,$8526000
38,Antone Exum\ExumAn00,27,fs,15,7,219,6-0,Virginia Tech,2/27/1991,4,3,Minnesota Vikings / 6th / 182nd pick / 2014,$705000
27,Adrian Colbert\ColbAd00,25,fs,7,6,205,6-2,Miami (FL),10/6/1993,1,2,San Francisco 49ers / 7th / 229th pick / 2017,$555000
32,D.J. Reed\ReedD.00,22,db,15,2,188,5-9,Kansas St.,11/11/1996,Rook,1,San Francisco 49ers / 5th / 142nd pick / 2018,$480000
9,Robbie Gould\gouldrob01,36,K,16,0,190,6-0,Penn St.,12/6/1982,13,5,,$2000000
5,Bradley Pinion\PiniBr00,24,P,16,0,240,6-5,Clemson,6/1/1994,3,2,San Francisco 49ers / 5th / 165th pick / 2015,$705000
89,Cole Wick\WickCo00,25,,5,0,257,6-6,,11/30/1993,2,0,,$555000
97,Dekoda Watson\WatsDe99,30,,4,0,245,6-2,Florida St.,3/3/1988,8,0,Tampa Bay Buccaneers / 7th / 217th pick / 2010,$1050000
81,Trent Taylor\TaylTr02,24,,14,0,180,5-8,Louisiana Tech,4/30/1994,1,2,San Francisco 49ers / 5th / 177th pick / 2017,$555000
77,Jullian Taylor\TaylJu00,23,,6,0,280,6-5,Temple,1/30/1995,Rook,0,San Francisco 49ers / 7th / 223rd pick / 2018,$480000
55,Pita Taumoepenu\TaumPi00,24,,4,0,245,6-1,Utah,3/9/1994,1,0,San Francisco 49ers / 6th / 202nd pick / 2017,$129200
49,James Onwualu\OnwuJa00,24,,5,0,235,6-1,Notre Dame,9/4/1994,1,0,,$163235
86,Kyle Nelson\NelsKy00,32,,12,0,240,6-2,New Mexico St.,10/3/1986,6,1,,$975000
31,Raheem Mostert\MostRa00,26,,9,0,197,5-10,Purdue,4/9/1992,3,2,,$705000
41,Emmanuel Moseley\MoseEm00,22,,1,0,184,5-11,,3/25/1996,Rook,0,,$129200
1,Max McCaffrey\McCaMa01,24,,1,0,200,6-2,Duke,5/17/1994,1,0,,$32647
35,Godwin Igwebuike\IgweGo00,24,,5,0,212,6-0,Northwestern,9/10/1994,Rook,0,,$129200
40,Colin Holba\HolbCo00,24,,4,0,248,6-4,Louisville,7/8/1994,1,0,Pittsburgh Steelers / 6th / 213th pick / 2017,$130588
76,Garry Gilliam\GillGa01,28,,16,0,305,6-5,Penn St.,11/26/1990,4,0,,$1750000
57,Terence Garvin\GarvTe00,27,,1,0,242,6-3,West Virginia,1/1/1991,5,0,,$743529
65,Joshua Garnett\GarnJo00,24,,7,0,305,6-5,Stanford,2/21/1994,2,0,San Francisco 49ers / 1st / 28th pick / 2016,$1295846
82,Ross Dwelley\DwelRo00,23,,11,0,240,6-5,,1/26/1995,Rook,0,,$129200
19,Steven Dunbar\DunbSt00,23,,1,0,202,6-3,,12/19/1995,Rook,0,,$129200
92,Ryan Delaire\DelaRy00,26,,2,0,260,6-4,Towson,1/17/1992,3,0,,$481767
43,Matthew Dayes\DayeMa00,24,,7,0,205,5-9,North Carolina St.,9/3/1994,1,0,Cleveland Browns / 7th / 252nd pick / 2017,$261176
96,Sheldon Day\DayxSh00,24,,12,0,294,6-1,Notre Dame,7/1/1994,2,1,Jacksonville Jaguars / 4th / 103rd pick / 2016,$630000
17,Victor Bolden\BoldVi00,23,,4,0,178,5-8,Oregon St.,4/4/1995,1,0,,$424412
98,Ronald Blair\BlaiRo00,25,,16,0,270,6-4,Appalachian St.,1/23/1993,2,2,San Francisco 49ers / 5th / 142nd pick / 2016,$630000
,Team Total,25.6,,16,,235.7,6-1.7,,,3.0,,,
