No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
50,Samson Ebukam\EbukSa00,23,LB,16,14,245,6-3,East. Washington,5/9/1995,1,7,Los Angeles Rams / 4th / 125th pick / 2017,$555000
81,Gerald Everett\EverGe00,24,,16,0,240,6-3,South Alabama,6/25/1994,1,3,Los Angeles Rams / 2nd / 44th pick / 2017,$739749
5,Sam Ficken\FickSa00,26,,2,0,192,6-1,Penn St.,12/14/1992,1,-1,,$423525
56,Dante Fowler\FowlDa00,24,lb,8,6,255,6-3,Florida,8/3/1994,2,3,Jacksonville Jaguars / 1st / 3rd pick / 2015,$3638216
57,John Franklin-Myers\FranJo02,22,,16,0,288,6-4,S.F. Austin,9/26/1996,Rook,1,Los Angeles Rams / 4th / 135th pick / 2018,$480000
16,Jared Goff*\GoffJa00,24,QB,16,16,222,6-4,California,10/14/1994,2,18,Los Angeles Rams / 1st / 1st pick / 2016,$2989788
30,Todd Gurley*+\GurlTo01,24,RB,14,14,224,6-1,Georgia,8/3/1994,3,16,St. Louis Rams / 1st / 10th pick / 2015,$950000
54,Bryce Hager\HageBr00,26,,16,0,237,6-1,Baylor,5/4/1992,3,1,St. Louis Rams / 7th / 224th pick / 2015,$705000
36,Dominique Hatfield\HatfDo00,24,,10,0,178,5-10,Utah,12/13/1994,1,1,,$129200
79,Rob Havenstein\HaveRo00,26,T,16,16,330,6-8,Wisconsin,5/13/1992,3,12,St. Louis Rams / 2nd / 57th pick / 2015,$976367
6,Johnny Hekker\HekkJo00,28,P,16,0,241,6-5,Oregon St.,2/8/1990,6,3,,$790000
89,Tyler Higbee\HigbTy00,25,TE,16,16,255,6-6,Western Kentucky,1/1/1993,2,3,Los Angeles Rams / 4th / 110th pick / 2016,$630000
32,Troy Hill\HillTr01,27,rcb,16,7,183,5-11,Oregon,8/29/1991,3,3,,$705000
11,KhaDarel Hodge\HodgKh00,23,,14,0,205,6-2,,1/3/1995,Rook,0,,$129200
27,Isaiah Johnson\JohnIs01,26,,2,0,210,6-1,Georgia Tech,5/16/1992,3,0,,$705000
43,John Johnson\JohnJo10,23,SS,16,16,209,6-0,Boston Col.,12/19/1995,1,6,Los Angeles Rams / 3rd / 91st pick / 2017,$584000
20,Lamarcus Joyner\JoynLa00,28,FS,15,15,191,5-8,Florida St.,11/27/1990,4,5,St. Louis Rams / 2nd / 41st pick / 2014,$11287000
42,John Kelly\KellJo00,22,,4,0,205,5-10,Tennessee,10/4/1996,Rook,1,Los Angeles Rams / 6th / 176th pick / 2018,$480000
59,Micah Kiser\KiseMi00,23,,16,0,244,6-0,Virginia,1/25/1995,Rook,1,Los Angeles Rams / 5th / 147th pick / 2018,$480000
18,Cooper Kupp\KuppCo00,25,WR,8,8,208,6-2,East. Washington,6/15/1993,1,6,Los Angeles Rams / 3rd / 69th pick / 2017,$640000
53,Justin Lawler\LawlJu00,24,,16,0,265,6-4,SMU,12/23/1994,Rook,1,Los Angeles Rams / 7th / 244th pick / 2018,$480000
58,Cory Littleton*\LittCo01,25,LB,16,16,228,6-3,Washington,11/18/1993,2,12,,$630000
96,Matt Longacre\LongMa00,27,lb,13,7,265,6-3,Northwest Missouri State,9/21/1991,3,3,,$705000
14,Sean Mannion\MannSe00,26,,3,0,223,6-6,Oregon St.,4/25/1992,3,0,St. Louis Rams / 3rd / 89th pick / 2015,$877778
44,Jake McQuaide\McQuJa00,31,,16,0,235,6-2,Ohio St.,12/7/1987,7,1,,$915000
82,Johnny Mundt\MundJo00,24,,10,0,233,6-4,Oregon,11/23/1994,1,0,,$480000
19,Jojo Natson\NatsJo00,24,,13,0,153,5-7,,2/1/1994,1,0,,$451760
70,Joseph Noteboom\NoteJo00,23,,16,0,321,6-5,TCU,6/19/1995,Rook,2,Los Angeles Rams / 3rd / 89th pick / 2018,$480000
22,Marcus Peters\PeteMa00,25,LCB,16,16,197,6-0,Washington,1/9/1993,3,6,Kansas City Chiefs / 1st / 18th pick / 2015,$1741931
83,Josh Reynolds\ReynJo00,23,WR,16,8,196,6-3,Texas A&M,2/16/1995,1,4,Los Angeles Rams / 4th / 117th pick / 2017,$555000
23,Nickell Robey-Coleman\RobeNi00,26,cb,16,1,180,5-8,USC,1/17/1992,5,1,,$2125000
76,Rodger Saffold\SaffRo20,30,LG,16,16,323,6-5,Indiana,6/6/1988,8,10,St. Louis Rams / 2nd / 33rd pick / 2010,$5375000
3,Cairo Santos\SantCa01,27,,2,0,160,5-8,Tulane,11/12/1991,4,0,,$604118
37,Sam Shields\ShieSa00,31,cb,16,2,184,5-11,Miami (FL),12/8/1987,8,2,,$915000
92,Tanzel Smart\SmarTa00,24,,2,0,295,6-1,Tulane,11/6/1994,1,0,Los Angeles Rams / 6th / 189th pick / 2017,$555000
93,Ndamukong Suh\SuhxNd99,31,NT,16,16,305,6-4,Nebraska,1/6/1987,8,7,Detroit Lions / 1st / 2nd pick / 2010,$14000000
65,John Sullivan\SullJo24,33,C,16,16,312,6-4,Notre Dame,8/8/1985,10,10,Minnesota Vikings / 6th / 187th pick / 2008,$999999
21,Aqib Talib\TaliAq99,32,rcb,8,8,205,6-1,Kansas,2/13/1986,10,3,Tampa Bay Buccaneers / 1st / 20th pick / 2008,$11000000
88,Mike Thomas\ThomMi04,24,,1,0,189,6-1,Southern Miss,8/16/1994,2,0,Los Angeles Rams / 6th / 206th pick / 2016,$630000
95,Ethan Westbrooks\WestEt00,28,,16,0,287,6-4,West Texas A&M,11/15/1990,4,1,,$1250000
77,Andrew Whitworth\WhitAn20,37,T,16,16,330,6-7,LSU,12/12/1981,12,12,Cincinnati Bengals / 2nd / 55th pick / 2006,$1015000
27,Darious Williams\WillDa09,25,,1,0,187,5-9,Ala-Birmingham,3/15/1993,Rook,0,,$480000
15,Nick Williams\WillNi02,28,,2,0,184,5-10,Connecticut,11/23/1990,5,0,,$511176
52,Ramik Wilson\WilsRa00,26,lb,16,4,238,6-2,Georgia,8/19/1992,3,3,Kansas City Chiefs / 4th / 118th pick / 2015,$705000
17,Robert Woods\WoodRo02,26,WR,16,16,195,6-0,USC,4/10/1992,5,14,Buffalo Bills / 2nd / 41st pick / 2013,$790000
49,Trevon Young\YounTr00,23,,2,0,259,6-4,Louisville,4/1/1995,Rook,0,Los Angeles Rams / 6th / 205th pick / 2018,$480000
4,Greg Zuerlein\ZuerGr00,31,K,11,0,191,6-0,Missouri Western St.,12/27/1987,6,3,St. Louis Rams / 6th / 171st pick / 2012,$2050000
,Team Total,26.0,,16,,234.9,6-1.5,,,3.2,,,
