No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
64,Justin McCray\McCrJu00,26,rg,12,5,317,6-3,Central Florida,5/31/1992,1,2,,$555000
74,Byron Bell\BellBy00,29,RG,12,9,320,6-5,New Mexico,1/17/1989,7,5,,$850000
96,Muhammad Wilkerson\WilkMu00,29,de,3,3,315,6-4,Temple,10/22/1989,7,1,New York Jets / 1st / 30th pick / 2011,$1600000
94,Dean Lowry\LowrDe00,24,DE,16,8,296,6-6,Northwestern,6/9/1994,2,6,Green Bay Packers / 4th / 137th pick / 2016,$630000
76,Mike Daniels\DaniMi00,29,DE,10,9,310,6-0,Iowa,5/5/1989,6,4,Green Bay Packers / 4th / 132nd pick / 2012,$6600000
90,Montravius Adams\AdamMo00,23,de,16,1,304,6-4,Auburn,7/24/1995,1,2,Green Bay Packers / 3rd / 93rd pick / 2017,$581000
95,Tyler Lancaster\LancTy00,24,nt,12,5,313,6-3,,11/4/1994,Rook,3,,$129200
97,Kenny Clark\ClarKe01,23,NT,13,13,314,6-3,UCLA,10/4/1995,2,8,Green Bay Packers / 1st / 27th pick / 2016,$1301059
53,Nick Perry\PerrNi00,28,LB,9,9,265,6-3,USC,4/12/1990,6,4,Green Bay Packers / 1st / 28th pick / 2012,$1900000
44,Antonio Morrison\MorrAn01,24,LB,16,8,241,6-1,Florida,12/6/1994,2,4,Indianapolis Colts / 4th / 125th pick / 2016,$630000
52,Clay Matthews\MattCl99,32,LB,16,16,255,6-3,USC,5/14/1986,9,7,Green Bay Packers / 1st / 26th pick / 2009,$10400000
50,Blake Martinez\MartBl01,24,LB,16,16,237,6-2,Stanford,1/9/1994,2,9,Green Bay Packers / 4th / 131st pick / 2016,$630000
51,Kyler Fackrell\FackKy00,27,lb,16,7,245,6-5,Utah St.,11/25/1991,2,5,Green Bay Packers / 3rd / 88th pick / 2016,$648000
42,Oren Burks\BurkOr00,23,lb,14,4,233,6-3,Vanderbilt,3/21/1995,Rook,3,Green Bay Packers / 3rd / 88th pick / 2018,$480000
20,Kevin King\KingKe01,23,cb,6,6,200,6-3,Washington,5/5/1995,1,2,Green Bay Packers / 2nd / 33rd pick / 2017,$786858
37,Josh Jackson\JackJo01,22,CB,16,10,196,6-0,Iowa,4/3/1996,Rook,4,Green Bay Packers / 2nd / 45th pick / 2018,$480000
28,Tony Brown\BrowTo01,23,cb,11,3,199,6-0,,7/13/1995,Rook,1,,$395294
26,Bashaud Breeland\BreeBa00,26,cb,7,5,195,5-11,Clemson,1/30/1992,4,3,Washington Redskins / 4th / 102nd pick / 2014,$650588
23,Jaire Alexander\AlexJa00,21,CB,13,11,196,5-10,Louisville,2/9/1997,Rook,5,Green Bay Packers / 1st / 18th pick / 2018,$480000
38,Tramon Williams\WillTr99,35,S,16,16,191,5-11,Louisiana Tech,3/16/1983,11,6,,$1500000
35,Jermaine Whitehead\WhitJe02,25,s,7,2,195,5-11,Auburn,3/12/1993,2,1,,$555000
35,Eddie Pleasant\PleaEd00,30,s,5,1,210,5-10,Oregon,12/17/1988,6,1,,$232353
27,Josh Jones\JoneJo06,24,s,13,5,220,6-2,North Carolina St.,9/20/1994,1,2,Green Bay Packers / 2nd / 61st pick / 2017,$657428
21,Ha Ha Clinton-Dix\ClinHa00,26,s,7,7,208,6-1,Alabama,12/21/1992,4,3,Green Bay Packers / 1st / 21st pick / 2014,$5957000
39,Ibraheim Campbell\CampIb00,26,s,3,1,210,5-11,Northwestern,5/13/1992,3,0,Cleveland Browns / 4th / 115th pick / 2015,$331765
29,Kentrell Brice\BricKe00,24,S,14,10,200,5-11,Louisiana Tech,8/11/1994,2,4,,$630000
2,Mason Crosby\CrosMa20,34,K,16,0,207,6-1,Colorado,9/3/1984,11,3,Green Bay Packers / 6th / 193rd pick / 2007,$3150000
6,JK Scott\ScotJK00,22,P,16,0,208,6-6,Alabama,10/30/1996,Rook,2,Green Bay Packers / 5th / 172nd pick / 2018,$480000
45,Dan Vitale\VitaDa00,25,,5,0,239,6-0,Northwestern,10/23/1993,2,0,Tampa Bay Buccaneers / 6th / 197th pick / 2016,$185295
56,Korey Toomer\ToomKo00,30,,7,0,235,6-2,Idaho,12/9/1988,5,1,Seattle Seahawks / 5th / 154th pick / 2012,$790000
25,Will Redmond\RedmWi00,25,,5,0,186,5-11,Mississippi St.,12/28/1993,Rook,0,San Francisco 49ers / 3rd / 68th pick / 2016,$225880
77,Adam Pankey\PankAd00,24,,1,0,313,6-5,West Virginia,2/2/1994,1,0,,$129200
82,J'Mon Moore\MoorJM00,23,,12,0,205,6-3,Missouri,5/23/1995,Rook,0,Green Bay Packers / 4th / 133rd pick / 2018,$480000
88,Ty Montgomery\MontTy01,25,,7,0,216,6-0,Stanford,1/22/1993,3,2,Green Bay Packers / 3rd / 94th pick / 2015,$716500
99,James Looney\LoonJa00,23,,3,0,287,6-3,Wake ForestCalifornia,5/15/1995,Rook,0,Green Bay Packers / 7th / 232nd pick / 2018,$129200
70,Alex Light\LighAl00,22,,3,0,309,6-5,,5/2/1996,Rook,0,,$480000
13,Allen Lazard\LazaAl00,23,,1,0,227,6-5,Iowa St.,12/11/1995,Rook,0,,$56470
9,DeShone Kizer\KizeDe00,22,,3,0,235,6-4,Notre Dame,1/3/1996,1,1,Cleveland Browns / 2nd / 52nd pick / 2017,$689928
21,Natrell Jamerson\JameNa00,23,,2,0,201,5-11,Wisconsin,12/15/1995,Rook,0,New Orleans Saints / 5th / 164th pick / 2018,$480000
22,Darius Jackson\JackDa01,25,,2,0,220,6-0,East. Michigan,12/1/1993,1,0,Dallas Cowboys / 6th / 216th pick / 2016,$555000
31,Davon House\HousDa00,29,,3,0,195,6-0,New Mexico St.,7/10/1989,7,0,Green Bay Packers / 4th / 131st pick / 2011,$915000
36,Raven Greene\GreeRa02,23,,8,0,197,5-11,,2/2/1995,Rook,1,,$480000
93,Reggie Gilbert\GilbRe01,25,,16,0,261,6-3,Arizona,4/1/1993,1,2,,$480000
11,Trevor Davis\DaviTr03,25,,2,0,188,6-1,California,7/4/1993,2,0,Green Bay Packers / 5th / 163rd pick / 2016,$393000
54,James Crawford\CrawJa01,24,,16,0,239,6-2,,12/2/1994,Rook,2,,$480000
24,Lavon Coleman\ColeLa02,24,,1,0,216,5-11,,12/10/1994,Rook,0,,$56470
32,Tra Carson\CarsTr01,26,,4,0,228,5-11,Texas A&M,10/24/1992,Rook,0,,$293824
95,Fadol Brown\BrowFa00,25,,4,0,282,6-4,Mississippi,4/15/1993,Rook,0,,$480000
43,Hunter Bradley\BradHu00,24,,16,0,241,6-3,Mississippi St.,5/21/1994,Rook,1,Green Bay Packers / 7th / 239th pick / 2018,$480000
22,Kapri Bibbs\BibbKa00,25,,2,0,203,5-10,Colorado St.,1/10/1993,4,0,,$129200
,Team Total,25.8,,16,,241.9,6-2.0,,,3.1,,,
